date,source,code,name,rank,heat
2026-02-18,pywencai_ths,002009,天奇股份,1,2057779.0
2026-02-18,pywencai_ths,002969,嘉美包装,2,1711451.0
2026-02-18,pywencai_ths,001330,博纳影业,3,1323438.5
2026-02-18,pywencai_ths,600410,华胜天成,4,1076382.0
2026-02-18,pywencai_ths,300251,光线传媒,5,1050868.0
2026-02-18,pywencai_ths,603466,风语筑,6,994318.5
2026-02-18,pywencai_ths,002131,利欧股份,7,837536.5
2026-02-18,pywencai_ths,000559,万向钱潮,8,756992.5
2026-02-18,pywencai_ths,603331,百达精工,9,736370.0
2026-02-18,pywencai_ths,002050,三花智控,10,683426.5
2026-02-18,pywencai_ths,002498,汉缆股份,11,668377.5
2026-02-18,pywencai_ths,600580,卧龙电驱,12,623238.0
2026-02-18,pywencai_ths,002342,巨力索具,13,621719.5
2026-02-18,pywencai_ths,000021,深科技,14,595389.0
2026-02-18,pywencai_ths,603533,掌阅科技,15,573908.0
2026-02-18,pywencai_ths,603667,五洲新春,16,549014.5
2026-02-18,pywencai_ths,603960,克来机电,17,540288.5
2026-02-18,pywencai_ths,002506,协鑫集成,18,523619.0
2026-02-18,pywencai_ths,600589,大位科技,19,506491.0
2026-02-18,pywencai_ths,002519,银河电子,20,418170.5
2026-02-18,pywencai_ths,000839,国安股份,21,392596.5
2026-02-18,pywencai_ths,300058,蓝色光标,22,384450.0
2026-02-18,pywencai_ths,002230,科大讯飞,23,381338.5
2026-02-18,pywencai_ths,001896,豫能控股,24,381119.0
2026-02-18,pywencai_ths,002196,方正电机,25,376850.5
2026-02-18,pywencai_ths,601899,紫金矿业,26,376540.0
2026-02-18,pywencai_ths,002467,二六三,27,374272.0
2026-02-18,pywencai_ths,002195,岩山科技,28,372463.5
2026-02-18,pywencai_ths,600089,特变电工,29,367454.0
2026-02-18,pywencai_ths,002931,锋龙股份,30,356175.0
2026-02-18,pywencai_ths,000547,航天发展,31,348434.5
2026-02-18,pywencai_ths,002510,天汽模,32,347260.0
2026-02-18,pywencai_ths,002896,中大力德,33,341881.0
2026-02-18,pywencai_ths,300812,易天股份,34,340149.0
2026-02-18,pywencai_ths,688017,绿的谐波,35,332828.0
2026-02-18,pywencai_ths,002703,浙江世宝,36,325895.0
2026-02-18,pywencai_ths,601890,亚星锚链,37,316511.5
2026-02-18,pywencai_ths,603103,横店影视,38,315186.5
2026-02-18,pywencai_ths,600893,航发动力,39,314852.5
2026-02-18,pywencai_ths,002837,英维克,40,307483.0
2026-02-18,pywencai_ths,000859,国风新材,41,306884.5
2026-02-18,pywencai_ths,000592,平潭发展,42,290776.0
2026-02-18,pywencai_ths,300718,长盛轴承,43,289004.0
2026-02-18,pywencai_ths,002951,金时科技,44,283646.5
2026-02-18,pywencai_ths,300449,汉邦高科,45,282231.5
2026-02-18,pywencai_ths,300182,捷成股份,46,282182.0
2026-02-18,pywencai_ths,600900,长江电力,47,281347.5
2026-02-18,pywencai_ths,000070,特发信息,48,278925.0
2026-02-18,pywencai_ths,600986,浙文互联,49,276531.5
2026-02-18,pywencai_ths,600519,贵州茅台,50,275978.0
2026-02-18,pywencai_ths,300024,机器人,51,272907.0
2026-02-18,pywencai_ths,600143,金发科技,52,272606.5
2026-02-18,pywencai_ths,002185,华天科技,53,268029.0
2026-02-18,pywencai_ths,300766,每日互动,54,267714.0
2026-02-18,pywencai_ths,000981,山子高科,55,263626.5
2026-02-18,pywencai_ths,603618,杭电股份,56,263011.5
2026-02-18,pywencai_ths,300017,网宿科技,57,261825.0
2026-02-18,pywencai_ths,300442,润泽科技,58,258969.5
2026-02-18,pywencai_ths,601212,白银有色,59,256674.5
2026-02-18,pywencai_ths,000977,浪潮信息,60,255926.0
2026-02-18,pywencai_ths,603993,洛阳钼业,61,251064.0
2026-02-18,pywencai_ths,300308,中际旭创,62,250223.5
2026-02-18,pywencai_ths,002355,兴民智通,63,247994.0
2026-02-18,pywencai_ths,300296,利亚德,64,244797.0
2026-02-18,pywencai_ths,600984,建设机械,65,244454.0
2026-02-18,pywencai_ths,002812,恩捷股份,66,242939.5
2026-02-18,pywencai_ths,601869,长飞光纤,67,242364.0
2026-02-18,pywencai_ths,300065,海兰信,68,238304.0
2026-02-18,pywencai_ths,601138,工业富联,69,237387.0
2026-02-18,pywencai_ths,300719,安达维尔,70,235868.5
2026-02-18,pywencai_ths,002169,智光电气,71,231086.0
2026-02-18,pywencai_ths,600376,首开股份,72,231000.0
2026-02-18,pywencai_ths,603000,人民网,73,230262.5
2026-02-18,pywencai_ths,002600,领益智造,74,228159.5
2026-02-18,pywencai_ths,601012,隆基绿能,75,225726.5
2026-02-18,pywencai_ths,002202,金风科技,76,222094.0
2026-02-18,pywencai_ths,002472,双环传动,77,221805.5
2026-02-18,pywencai_ths,000681,视觉中国,78,221528.0
2026-02-18,pywencai_ths,600759,洲际油气,79,220681.5
2026-02-18,pywencai_ths,603019,中科曙光,80,220455.0
2026-02-18,pywencai_ths,600875,东方电气,81,220008.5
2026-02-18,pywencai_ths,002455,百川股份,82,216514.0
2026-02-18,pywencai_ths,603986,兆易创新,83,214155.5
2026-02-18,pywencai_ths,600977,中国电影,84,212452.5
2026-02-18,pywencai_ths,002323,雅博股份,85,212424.5
2026-02-18,pywencai_ths,002471,中超控股,86,212423.5
2026-02-18,pywencai_ths,601179,中国西电,87,210660.0
2026-02-18,pywencai_ths,603728,鸣志电器,88,209835.5
2026-02-18,pywencai_ths,000858,五粮液,89,206574.5
2026-02-18,pywencai_ths,600629,华建集团,90,204898.0
2026-02-18,pywencai_ths,002475,立讯精密,91,204695.0
2026-02-18,pywencai_ths,300418,昆仑万维,92,203983.0
2026-02-18,pywencai_ths,605007,五洲特纸,93,198447.0
2026-02-18,pywencai_ths,600397,江钨装备,94,194413.0
2026-02-18,pywencai_ths,000890,法尔胜,95,194275.0
2026-02-18,pywencai_ths,600673,东阳光,96,193624.5
2026-02-18,pywencai_ths,600487,亨通光电,97,188700.0
2026-02-18,pywencai_ths,002594,比亚迪,98,187466.0
2026-02-18,pywencai_ths,300364,中文在线,99,186010.5
2026-02-18,pywencai_ths,002245,蔚蓝锂芯,100,183867.5
2026-02-19,pywencai_ths,002009,天奇股份,1,1467028.0
2026-02-19,pywencai_ths,002506,协鑫集成,2,1328808.5
2026-02-19,pywencai_ths,002969,嘉美包装,3,1327605.0
2026-02-19,pywencai_ths,600410,华胜天成,4,1085700.0
2026-02-19,pywencai_ths,001330,博纳影业,5,1051740.0
2026-02-19,pywencai_ths,603466,风语筑,6,1033539.5
2026-02-19,pywencai_ths,300251,光线传媒,7,879374.5
2026-02-19,pywencai_ths,002131,利欧股份,8,812908.0
2026-02-19,pywencai_ths,002498,汉缆股份,9,743322.5
2026-02-19,pywencai_ths,000021,深科技,10,721669.5
2026-02-19,pywencai_ths,000559,万向钱潮,11,689467.0
2026-02-19,pywencai_ths,603533,掌阅科技,12,584501.5
2026-02-19,pywencai_ths,002050,三花智控,13,575226.0
2026-02-19,pywencai_ths,002342,巨力索具,14,559912.0
2026-02-19,pywencai_ths,603331,百达精工,15,555403.0
2026-02-19,pywencai_ths,600589,大位科技,16,533455.0
2026-02-19,pywencai_ths,002519,银河电子,17,514714.5
2026-02-19,pywencai_ths,603667,五洲新春,18,471530.0
2026-02-19,pywencai_ths,600580,卧龙电驱,19,454635.0
2026-02-19,pywencai_ths,002703,浙江世宝,20,427908.5
2026-02-19,pywencai_ths,603960,克来机电,21,423812.5
2026-02-19,pywencai_ths,001896,豫能控股,22,402221.0
2026-02-19,pywencai_ths,601899,紫金矿业,23,397264.0
2026-02-19,pywencai_ths,000839,国安股份,24,390448.5
2026-02-19,pywencai_ths,300058,蓝色光标,25,388385.5
2026-02-19,pywencai_ths,600089,特变电工,26,386095.5
2026-02-19,pywencai_ths,600759,洲际油气,27,385856.0
2026-02-19,pywencai_ths,300182,捷成股份,28,369590.0
2026-02-19,pywencai_ths,601890,亚星锚链,29,369364.5
2026-02-19,pywencai_ths,000547,航天发展,30,362015.0
2026-02-19,pywencai_ths,300812,易天股份,31,359047.5
2026-02-19,pywencai_ths,002837,英维克,32,337253.0
2026-02-19,pywencai_ths,002510,天汽模,33,335302.5
2026-02-19,pywencai_ths,600893,航发动力,34,334063.0
2026-02-19,pywencai_ths,002195,岩山科技,35,320589.0
2026-02-19,pywencai_ths,002467,二六三,36,318287.5
2026-02-19,pywencai_ths,603103,横店影视,37,316358.0
2026-02-19,pywencai_ths,300449,汉邦高科,38,316154.5
2026-02-19,pywencai_ths,002931,锋龙股份,39,314959.0
2026-02-19,pywencai_ths,000859,国风新材,40,314423.5
2026-02-19,pywencai_ths,300766,每日互动,41,309933.5
2026-02-19,pywencai_ths,002230,科大讯飞,42,307489.5
2026-02-19,pywencai_ths,002951,金时科技,43,305639.5
2026-02-19,pywencai_ths,002196,方正电机,44,303813.5
2026-02-19,pywencai_ths,300308,中际旭创,45,296131.5
2026-02-19,pywencai_ths,600900,长江电力,46,292171.5
2026-02-19,pywencai_ths,000592,平潭发展,47,291287.5
2026-02-19,pywencai_ths,002896,中大力德,48,290351.0
2026-02-19,pywencai_ths,688017,绿的谐波,49,288302.0
2026-02-19,pywencai_ths,000070,特发信息,50,283264.5
2026-02-19,pywencai_ths,601138,工业富联,51,279586.5
2026-02-19,pywencai_ths,300017,网宿科技,52,276936.0
2026-02-19,pywencai_ths,600986,浙文互联,53,275961.5
2026-02-19,pywencai_ths,000981,山子高科,54,271842.5
2026-02-19,pywencai_ths,600519,贵州茅台,55,267025.5
2026-02-19,pywencai_ths,603618,杭电股份,56,265334.0
2026-02-19,pywencai_ths,000977,浪潮信息,57,264224.0
2026-02-19,pywencai_ths,601869,长飞光纤,58,264163.5
2026-02-19,pywencai_ths,002355,兴民智通,59,263314.0
2026-02-19,pywencai_ths,603993,洛阳钼业,60,259495.0
2026-02-19,pywencai_ths,002185,华天科技,61,259283.0
2026-02-19,pywencai_ths,601212,白银有色,62,248311.0
2026-02-19,pywencai_ths,603986,兆易创新,63,245506.0
2026-02-19,pywencai_ths,300065,海兰信,64,244053.5
2026-02-19,pywencai_ths,601012,隆基绿能,65,243634.5
2026-02-19,pywencai_ths,600143,金发科技,66,238379.0
2026-02-19,pywencai_ths,300719,安达维尔,67,234656.0
2026-02-19,pywencai_ths,603019,中科曙光,68,233088.5
2026-02-19,pywencai_ths,002323,雅博股份,69,230084.5
2026-02-19,pywencai_ths,603000,人民网,70,226708.0
2026-02-19,pywencai_ths,002202,金风科技,71,226485.5
2026-02-19,pywencai_ths,300442,润泽科技,72,225637.5
2026-02-19,pywencai_ths,002471,中超控股,73,218703.5
2026-02-19,pywencai_ths,000858,五粮液,74,217088.5
2026-02-19,pywencai_ths,600875,东方电气,75,214363.0
2026-02-19,pywencai_ths,300718,长盛轴承,76,214167.0
2026-02-19,pywencai_ths,000681,视觉中国,77,213676.0
2026-02-19,pywencai_ths,600487,亨通光电,78,213046.5
2026-02-19,pywencai_ths,002455,百川股份,79,211052.5
2026-02-19,pywencai_ths,002169,智光电气,80,205196.5
2026-02-19,pywencai_ths,002812,恩捷股份,81,205130.0
2026-02-19,pywencai_ths,600397,江钨装备,82,203797.5
2026-02-19,pywencai_ths,601179,中国西电,83,202314.0
2026-02-19,pywencai_ths,002475,立讯精密,84,202228.0
2026-02-19,pywencai_ths,000890,法尔胜,85,198971.5
2026-02-19,pywencai_ths,600629,华建集团,86,196361.5
2026-02-19,pywencai_ths,601777,千里科技,87,195530.5
2026-02-19,pywencai_ths,300418,昆仑万维,88,195109.0
2026-02-19,pywencai_ths,002600,领益智造,89,194142.5
2026-02-19,pywencai_ths,600984,建设机械,90,193318.0
2026-02-19,pywencai_ths,600673,东阳光,91,191855.0
2026-02-19,pywencai_ths,300296,利亚德,92,190613.0
2026-02-19,pywencai_ths,002594,比亚迪,93,189599.0
2026-02-19,pywencai_ths,600481,双良节能,94,188797.5
2026-02-19,pywencai_ths,002716,湖南白银,95,188083.0
2026-02-19,pywencai_ths,600376,首开股份,96,186547.0
2026-02-19,pywencai_ths,600879,航天电子,97,186335.0
2026-02-19,pywencai_ths,603881,数据港,98,186089.5
2026-02-19,pywencai_ths,601888,中国中免,99,184676.0
2026-02-19,pywencai_ths,600977,中国电影,100,183258.5
2026-02-20,pywencai_ths,002050,三花智控,1,1783266.5
2026-02-20,pywencai_ths,600410,华胜天成,2,1532981.5
2026-02-20,pywencai_ths,002009,天奇股份,3,1517334.0
2026-02-20,pywencai_ths,002131,利欧股份,4,1022025.5
2026-02-20,pywencai_ths,001330,博纳影业,5,1019911.5
2026-02-20,pywencai_ths,603466,风语筑,6,986344.0
2026-02-20,pywencai_ths,300251,光线传媒,7,930658.0
2026-02-20,pywencai_ths,002969,嘉美包装,8,917670.0
2026-02-20,pywencai_ths,600821,金开新能,9,876788.5
2026-02-20,pywencai_ths,603533,掌阅科技,10,771767.0
2026-02-20,pywencai_ths,002467,二六三,11,757414.0
2026-02-20,pywencai_ths,002498,汉缆股份,12,756067.0
2026-02-20,pywencai_ths,601899,紫金矿业,13,752761.0
2026-02-20,pywencai_ths,002506,协鑫集成,14,747634.0
2026-02-20,pywencai_ths,000559,万向钱潮,15,725575.0
2026-02-20,pywencai_ths,603986,兆易创新,16,643817.0
2026-02-20,pywencai_ths,000021,深科技,17,587656.5
2026-02-20,pywencai_ths,002342,巨力索具,18,584626.5
2026-02-20,pywencai_ths,600589,大位科技,19,557008.0
2026-02-20,pywencai_ths,603331,百达精工,20,523197.5
2026-02-20,pywencai_ths,603667,五洲新春,21,512794.0
2026-02-20,pywencai_ths,603960,克来机电,22,509007.0
2026-02-20,pywencai_ths,002703,浙江世宝,23,504804.5
2026-02-20,pywencai_ths,603993,洛阳钼业,24,497754.5
2026-02-20,pywencai_ths,300182,捷成股份,25,485352.5
2026-02-20,pywencai_ths,000839,国安股份,26,463959.5
2026-02-20,pywencai_ths,300058,蓝色光标,27,462487.5
2026-02-20,pywencai_ths,600759,洲际油气,28,450108.0
2026-02-20,pywencai_ths,002519,银河电子,29,428549.0
2026-02-20,pywencai_ths,001896,豫能控股,30,418120.0
2026-02-20,pywencai_ths,300846,首都在线,31,390285.0
2026-02-20,pywencai_ths,600089,特变电工,32,380628.5
2026-02-20,pywencai_ths,002931,锋龙股份,33,379768.0
2026-02-20,pywencai_ths,601390,中国中铁,34,376631.5
2026-02-20,pywencai_ths,000547,航天发展,35,372994.5
2026-02-20,pywencai_ths,601888,中国中免,36,372562.0
2026-02-20,pywencai_ths,600580,卧龙电驱,37,369908.0
2026-02-20,pywencai_ths,002510,天汽模,38,368665.0
2026-02-20,pywencai_ths,601869,长飞光纤,39,364471.5
2026-02-20,pywencai_ths,300812,易天股份,40,364166.0
2026-02-20,pywencai_ths,601890,亚星锚链,41,355781.0
2026-02-20,pywencai_ths,600893,航发动力,42,346278.0
2026-02-20,pywencai_ths,688008,澜起科技,43,332515.5
2026-02-20,pywencai_ths,000681,视觉中国,44,331872.5
2026-02-20,pywencai_ths,300017,网宿科技,45,328943.5
2026-02-20,pywencai_ths,000070,特发信息,46,327038.5
2026-02-20,pywencai_ths,002230,科大讯飞,47,321590.0
2026-02-20,pywencai_ths,000859,国风新材,48,319879.5
2026-02-20,pywencai_ths,002195,岩山科技,49,319377.5
2026-02-20,pywencai_ths,002837,英维克,50,317047.5
2026-02-20,pywencai_ths,300449,汉邦高科,51,316342.0
2026-02-20,pywencai_ths,000981,山子高科,52,316067.0
2026-02-20,pywencai_ths,002951,金时科技,53,316002.0
