code,name,signal_date,entry_date,signal_rank,signal_close,entry_condition,buy_price,buy_exec,buy_shares,buy_cost,exit_date,exit_rank,exit_reason,sell_price,sell_exec,sell_proceed,hold_days,net_pnl,net_pnl_pct
600733,北汽蓝谷,2025-12-16,2025-12-30,4,8.24,gap_down_open,7.94,7.94397,41900,332952.1987029,2025-12-31,284,rank_drop_below_50,8.03,8.025985,335851.59609705006,2,2899.397394150088,0.00870814911403327
600271,航天信息,2025-12-16,2025-12-30,6,10.65,gap_down_open,10.54,10.545269999999999,31600,333330.5011595999,2025-12-31,107,rank_drop_below_50,11.69,11.684155,368739.31291260006,2,35408.81175300013,0.10622733782182825
002104,恒宝股份,2025-12-16,2025-12-26,8,20.38,gap_down_open,20.18,20.190089999999998,16500,333236.42594549997,2025-12-30,133,rank_drop_below_50,21.49,21.479255,353946.97748025,3,20710.551534750033,0.06214972290615431
002413,雷科防务,2025-12-15,2025-12-25,3,9.98,gap_down_open,8.96,8.96448,37100,332681.9826624,2025-12-26,102,rank_drop_below_50,9.43,9.425285,349223.49200445,2,16541.509342050005,0.049721686788298504
002519,银河电子,2025-12-11,2025-12-24,9,6.88,gap_down_open,5.52,5.522759999999999,60300,333122.33472839993,2025-12-25,276,rank_drop_below_50,6.11,6.1069450000000005,367770.06008145004,2,34647.725353050104,0.10400901332928925
002202,金风科技,2025-12-11,2025-12-23,10,16.98,rise2_trigger,17.3196,17.3282598,19200,332802.39893644804,2025-12-24,144,rank_drop_below_50,17.43,17.421285,334053.8367264,2,1251.437789951975,0.0037603027921410794
603019,中科曙光,2025-12-10,2025-12-23,6,90.12,gap_down_open,87.42,87.46370999999999,3800,332461.8066294,2025-12-24,228,rank_drop_below_50,87.15,87.10642500000002,330574.10926050006,2,-1887.6973688999424,-0.0056779375292398205
002163,海南发展,2025-12-10,2025-12-22,9,17.27,gap_down_open,15.87,15.877934999999999,20900,331948.39615245,2025-12-30,59,rank_drop_below_50,22.25,22.238875,464188.25726625,7,132239.86111379997,0.39837475537332534
000002,万  科Ａ,2025-12-10,2025-12-22,1,5.25,gap_down_open,4.88,4.88244,68200,333082.3027224,2025-12-23,188,rank_drop_below_50,4.79,4.787605,326090.19194070005,2,-6992.110781699943,-0.020992141355307494
002229,鸿博股份,2025-12-09,2025-12-22,10,18.36,gap_down_open,15.87,15.877934999999999,20900,331948.39615245,2025-12-23,820,rank_drop_below_50,15.76,15.752120000000001,328791.3228996,2,-3157.0732528499793,-0.00951073507039952
002217,合力泰,2025-12-09,2025-12-19,5,3.78,gap_down_open,3.06,3.06153,108800,333194.39233919996,2025-12-22,723,rank_drop_below_50,3.12,3.11844,338845.1998464,2,5650.80750720005,0.016959491627480307
300394,天孚通信,2025-12-08,2025-12-19,8,236.9,gap_down_open,222.46,222.57122999999999,1400,311693.2019166,2025-12-22,124,rank_drop_below_50,223.0,222.88850000000002,311638.24293,2,-54.95898659998784,-0.00017632398224294048
600635,大众公用,2025-12-04,2025-12-19,8,8.22,gap_down_open,6.37,6.373184999999999,52300,333417.57077264995,2025-12-22,344,rank_drop_below_50,6.63,6.626685,346125.07718685,2,12707.506414200063,0.0381128876464193
002402,和而泰,2025-12-04,2025-12-18,1,53.42,gap_down_open,38.31,38.329155,8600,329729.6222199,2025-12-19,288,rank_drop_below_50,38.95,38.930525,334367.27173050004,2,4637.649510600022,0.014065007200072328
002050,三花智控,2025-12-04,2025-12-18,4,44.79,gap_down_open,43.28,43.30164,7600,329191.1917392,2025-12-19,137,rank_drop_below_50,43.47,43.448265,329777.5451418,2,586.3534026000416,0.0017811940820839976
002512,达华智能,2025-12-04,2025-12-18,10,6.33,gap_down_open,5.81,5.812904999999999,57300,333179.3803369499,2025-12-19,298,rank_drop_below_50,6.03,6.026985000000001,344897.29038735,2,11717.910050400125,0.035169973719711006
002031,巨轮智能,2025-12-04,2025-12-17,3,7.8,gap_down_open,7.38,7.38369,45100,333104.3203257,2025-12-18,426,rank_drop_below_50,7.21,7.2063950000000006,324585.90356115,2,-8518.41676454997,-0.025572819818791007
001280,中国铀业,2025-12-03,2025-12-17,2,67.99,gap_down_open,66.02,66.05300999999999,5000,330364.1295149999,2025-12-18,254,rank_drop_below_50,64.0,63.968,319424.208,2,-10939.921514999936,-0.03311473776242169
000078,海王生物,2025-12-03,2025-12-17,6,4.52,gap_down_open,4.18,4.18209,79700,333412.5667719,2025-12-18,76,rank_drop_below_50,4.32,4.31784,343684.4765976001,2,10271.909825700102,0.0308084063091944
603122,合富中国,2025-12-02,2025-12-16,3,25.56,rise2_trigger,26.071199999999997,26.084235599999996,12700,331369.17305763596,2025-12-17,67,rank_drop_below_50,27.45,27.436275000000002,347987.71959975,2,16618.546542114054,0.05015115434175751
000572,海马汽车,2025-12-02,2025-12-16,9,9.83,gap_down_open,9.58,9.58479,34700,332691.9906639,2025-12-17,123,rank_drop_below_50,9.1,9.09545,315201.81925049995,2,-17490.171413400036,-0.05257166359339673
603327,福蓉科技,2025-12-01,2025-12-16,3,10.99,rise2_trigger,11.2098,11.2154049,29700,333197.454787659,2025-12-17,466,rank_drop_below_50,11.0,10.9945,326112.152355,2,-7085.302432658966,-0.02126457549675554
000888,峨眉山Ａ,2025-12-01,2025-12-15,6,14.08,gap_down_open,12.52,12.526259999999999,26600,333298.47555479995,2025-12-16,1212,rank_drop_below_50,12.53,12.523735,332698.2802437,2,-600.1953110999311,-0.0018007742462693886
002632,道明光学,2025-12-01,2025-12-15,8,13.68,gap_down_open,12.87,12.876434999999999,25800,332311.6866069,2025-12-16,517,rank_drop_below_50,12.25,12.243875000000001,315481.31543250004,2,-16830.371174399974,-0.050646341530290656
600977,中国电影,2025-12-01,2025-12-15,9,19.02,gap_down_open,17.84,17.84892,18600,332089.5089736,2025-12-16,163,rank_drop_below_50,15.86,15.85207,294465.1989474,2,-37624.31002620002,-0.11329568989543427
000063,中兴通讯,2025-12-01,2025-12-12,1,46.3,gap_down_open,36.9,36.91845,9000,332365.72981499997,2025-12-15,88,rank_drop_below_50,36.84,36.821580000000004,330963.407514,2,-1402.3223009999492,-0.004219214483335884
000678,襄阳轴承,2025-11-28,2025-12-12,1,14.76,rise2_trigger,15.0552,15.062727599999999,22100,332986.14584398794,2025-12-15,202,rank_drop_below_50,15.39,15.382305,339507.00687735004,2,6520.861033362104,0.019582979997063557
002728,特一药业,2025-11-27,2025-12-12,2,14.97,gap_down_open,11.93,11.935965,27900,333113.32752705,2025-12-15,928,rank_drop_below_50,11.59,11.584205,322779.16038465005,2,-10334.167142399936,-0.03102297713249184
002291,遥望科技,2025-11-26,2025-12-11,10,8.44,gap_down_open,6.72,6.72336,49500,332906.16189600003,2025-12-12,986,rank_drop_below_50,6.38,6.37681,315241.7472764999,2,-17664.41461950011,-0.05306124260030511
002759,天际股份,2025-11-25,2025-12-11,7,43.32,gap_down_open,35.3,35.31764999999999,9400,332085.5057729999,2025-12-12,208,rank_drop_below_50,32.27,32.253865000000005,302792.18876970006,2,-29293.31700329983,-0.08821016423199014
601360,三六零,2025-11-24,2025-12-11,3,13.87,gap_down_open,12.08,12.086039999999999,27500,332465.80983,2025-12-12,316,rank_drop_below_50,11.59,11.584205,318151.50217125,2,-14314.307658749982,-0.04305497658862825
002400,省广集团,2025-11-24,2025-12-10,5,9.73,gap_down_open,8.67,8.674335,38400,333194.39233919996,2025-12-11,412,rank_drop_below_50,8.39,8.385805000000001,321596.2926144001,2,-11598.09972479986,-0.034808808285683016
002279,久其软件,2025-11-24,2025-12-10,6,9.83,gap_down_open,8.33,8.334165,39900,332632.94345505006,2025-12-11,686,rank_drop_below_50,8.0,7.996,318625.64748000004,2,-14007.295975050016,-0.0421103689537079
300589,江龙船艇,2025-11-24,2025-12-10,7,26.9,gap_down_open,22.81,22.821405,14600,333292.47075389995,2025-12-11,301,rank_drop_below_50,22.81,22.798595,332426.7696669,2,-865.7010869999649,-0.0025974216730482056
301171,易点天下,2025-11-21,2025-12-09,4,39.97,gap_down_open,37.8,37.81889999999999,8800,332906.161896,2025-12-10,477,rank_drop_below_50,36.99,36.971505,324926.2899828,2,-7979.871913199953,-0.023970334065768564
601566,九牧王,2025-11-20,2025-12-09,3,18.41,gap_down_open,14.0,14.007,23700,332065.48977,2025-12-10,208,rank_drop_below_50,14.41,14.402795000000001,340902.49138605,2,8837.001616050024,0.02661222526366963
