code,name,entry_date,rank_t,rank_t1,rank_t2,amount_t,amount_t1,amount_t2,prev_close,trigger_high,trigger_low,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
002031,巨轮智能,2025-01-16,14,2,9.00,50.61,44.57,13.58,6.68,7.13,6.48,6.81,6.82,2900,19774.32,80225.68,2025-01-20,sell_t1_close,3,7.04,7.04,20380.39,100606.07,606,606.07,0.03
000882,华联股份,2025-01-23,3,6,26.00,26.86,25.19,8.77,3.10,3.41,2.83,3.16,3.16,6300,19935.56,80670.51,2025-01-27,sell_drop7,3,3.38,3.38,21257.07,101927.58,1322,1321.51,0.07
600410,华胜天成,2025-01-27,25,6,24.00,30.52,24.79,28.07,8.80,9.48,8.57,8.98,8.98,2200,19762.07,82165.50,2025-02-05,sell_t1_close,2,9.24,9.24,20292.52,102458.02,530,530.44,0.03
002530,金财互联,2025-02-05,41,4,10.00,32.17,28.47,18.32,12.10,13.31,11.19,12.34,12.35,1600,19762.07,82695.95,2025-02-07,sell_t1_close,3,12.23,12.22,19533.66,63131.01,-228,-228.42,-0.01
002131,利欧股份,2025-02-06,5,2,34.00,74.65,50.80,25.21,3.97,4.36,3.94,4.05,4.05,4900,19856.98,62838.97,2025-02-07,sell_t1_close,2,4.10,4.10,20054.88,83185.89,198,197.89,0.01
600580,卧龙电驱,2025-02-06,16,9,43.00,62.81,50.31,32.06,18.85,20.76,18.60,19.23,19.24,1000,19241.61,43597.35,2025-02-10,sell_t1_close,3,22.48,22.47,22441.29,86433.99,3200,3199.68,0.17
600580,卧龙电驱,2025-02-10,25,7,16.00,70.32,51.31,62.81,22.01,23.02,21.46,22.45,22.46,800,17974.14,68459.85,2025-02-11,sell_t1_close,2,22.57,22.56,18023.93,86483.77,50,49.78,0.00
600839,四川长虹,2025-02-11,9,1,2.00,106.33,104.50,82.51,11.52,11.95,10.96,11.75,11.76,1700,19990.67,66493.10,2025-02-12,sell_t1_close,2,11.72,11.71,19889.12,31158.66,-102,-101.54,-0.01
002131,利欧股份,2025-02-11,4,2,15.00,99.98,61.73,62.25,4.51,4.92,4.49,4.60,4.60,4300,19795.75,46697.35,2025-02-12,sell_t1_close,2,4.67,4.67,20045.89,51204.55,250,250.14,0.01
000034,神州数码,2025-02-11,55,10,18.00,73.56,32.19,43.56,43.61,46.23,43.09,44.48,44.50,400,17806.78,11269.53,2025-02-12,sell_t1_close,2,44.66,44.64,17832.21,69036.76,25,25.44,0.00
000158,常山北明,2025-02-11,11,3,1.00,99.23,74.66,61.70,24.66,26.28,24.10,25.15,25.17,700,17621.04,29076.31,2025-02-13,sell_t1_close,3,27.26,27.25,19048.39,68286.33,1427,1427.34,0.08
600186,莲花控股,2025-02-12,14,8,27.00,45.20,39.41,31.55,7.46,8.20,7.10,7.61,7.61,2600,19798.81,49237.95,2025-02-13,sell_drop7,2,7.17,7.17,18609.05,86895.38,-1190,-1189.77,-0.06
000158,常山北明,2025-02-13,7,5,11.00,123.26,86.27,99.23,26.57,29.00,25.81,27.10,27.11,700,18985.47,67909.91,2025-02-14,sell_t1_close,2,26.74,26.73,18684.93,86594.85,-301,-300.53,-0.02
300251,光线传媒,2025-02-07,30,9,12.00,48.93,45.99,23.01,13.30,13.90,12.85,13.70,13.71,1400,19193.19,63992.70,2025-02-17,sell_drop7,7,29.46,29.45,41173.91,108016.89,21981,21980.72,1.15
600839,四川长虹,2025-02-14,4,2,9.00,138.72,99.16,88.62,12.90,13.75,12.21,13.16,13.16,1500,19751.87,66842.98,2025-02-17,sell_t1_close,2,12.11,12.10,18132.76,126149.65,-1619,-1619.11,-0.08
600602,云赛智联,2025-02-19,41,5,13.00,63.58,69.37,38.56,23.19,24.46,22.02,23.65,23.67,800,18937.50,107212.15,2025-02-20,sell_t1_close,2,22.03,22.02,17592.57,124804.72,-1345,-1344.93,-0.07
603501,豪威集团,2025-02-20,53,5,7.00,101.01,91.98,103.03,157.34,161.34,151.08,160.49,160.57,100,16061.70,108743.02,2025-02-21,sell_t1_close,2,157.36,157.28,15707.40,124450.42,-354,-354.30,-0.02
002261,拓维信息,2025-02-24,3,1,2.00,165.45,153.94,142.45,41.76,44.10,40.26,42.60,42.62,400,17051.60,107398.82,2025-02-25,sell_drop7,2,37.37,37.35,14920.59,122319.41,-2131,-2131.01,-0.12
002031,巨轮智能,2025-02-26,4,1,11.00,88.36,61.04,56.74,10.46,11.46,10.27,10.67,10.67,1800,19219.16,103100.24,2025-02-27,sell_t1_close,2,10.80,10.79,19405.85,122506.09,187,186.69,0.01
603496,恒为科技,2025-02-28,2,10,36.00,45.59,35.51,15.79,34.62,38.08,33.94,35.31,35.33,500,17670.03,104836.07,2025-03-04,sell_drop7,3,37.70,37.68,18816.73,123652.80,1147,1146.71,0.06
002195,岩山科技,2025-03-07,2,3,2.00,123.57,39.73,42.45,6.30,6.93,6.26,6.43,6.43,3100,19935.56,103717.24,2025-03-10,sell_t1_close,2,6.34,6.34,19619.53,123336.77,-316,-316.03,-0.02
002195,岩山科技,2025-03-12,2,1,2.00,142.18,128.08,98.10,6.97,7.26,6.76,7.11,7.11,2800,19921.27,103415.50,2025-03-13,sell_t1_close,2,6.31,6.31,17636.51,121052.00,-2285,-2284.77,-0.11
000678,襄阳轴承,2025-03-14,14,6,8.00,19.62,22.20,10.10,13.84,14.50,12.46,14.12,14.12,1400,19778.40,101273.60,2025-03-21,sell_drop7,6,17.01,17.00,23773.29,87628.06,3995,3994.89,0.20
002276,万马股份,2025-03-20,7,2,3.00,77.88,58.88,47.88,19.63,21.16,17.96,20.02,20.03,900,18034.35,83239.25,2025-03-21,sell_t1_close,2,17.13,17.12,15388.88,103016.94,-2645,-2645.47,-0.15
002553,南方精工,2025-03-20,3,3,11.00,25.25,27.32,13.69,21.10,23.22,20.40,21.52,21.53,900,19384.48,63854.77,2025-03-24,sell_drop7,3,22.99,22.98,20654.97,104236.40,1270,1270.49,0.07
600797,浙大网新,2025-03-21,4,2,8.00,59.02,53.36,43.96,13.60,14.90,13.45,13.87,13.88,1400,19435.51,83581.43,2025-03-24,sell_drop7,2,12.74,12.73,17804.25,122040.66,-1631,-1631.26,-0.08
002553,南方精工,2025-03-24,13,3,3.00,27.53,29.31,25.25,25.55,26.38,22.99,26.06,26.07,700,18256.82,103783.84,2025-03-27,sell_drop7,4,25.05,25.04,17503.71,101296.87,-753,-753.12,-0.04
601608,中信重工,2025-03-25,76,8,15.00,30.32,33.71,8.85,5.76,6.22,5.45,5.88,5.88,3400,19990.67,83793.17,2025-03-27,sell_t1_close,3,5.73,5.73,19447.79,120744.66,-543,-542.88,-0.03
603690,至纯科技,2025-03-31,6,2,5.00,42.15,26.14,8.88,31.19,34.31,31.19,31.81,31.83,600,19102.82,101641.84,2025-04-01,sell_t1_close,2,32.85,32.83,19675.44,121317.28,573,572.62,0.03
603169,兰石重装,2025-04-07,58,4,6.00,23.52,22.86,29.75,9.56,10.04,8.69,9.75,9.76,2000,19517.15,101800.13,2025-04-08,sell_t1_close,2,9.15,9.15,18267.56,120067.69,-1250,-1249.59,-0.06
601933,永辉超市,2025-04-09,4,1,7.00,74.58,29.27,44.85,5.70,6.27,5.65,5.81,5.82,3400,19782.48,100285.21,2025-04-10,sell_t1_close,2,6.23,6.23,21145.24,87442.56,1363,1362.75,0.07
600598,北大荒,2025-04-09,3,2,1.00,48.37,30.69,26.17,16.70,18.43,17.01,17.03,17.04,1100,18751.77,81533.44,2025-04-10,sell_t1_close,2,18.40,18.39,20204.65,107647.21,1453,1452.88,0.08
600536,中国软件,2025-04-09,29,4,38.00,59.05,39.85,34.69,49.75,53.50,49.12,50.74,50.77,300,15236.11,66297.33,2025-04-10,sell_t1_close,2,49.73,49.71,14891.63,122538.84,-344,-344.48,-0.02
600598,北大荒,2025-04-10,9,3,2.00,48.75,48.37,30.69,18.43,19.05,16.75,18.80,18.81,1000,18813.00,103725.84,2025-04-11,sell_drop7,2,16.51,16.50,16480.24,120206.09,-2333,-2332.76,-0.12
002570,贝因美,2025-04-17,5,1,17.00,38.15,32.93,33.95,7.30,7.89,6.60,7.45,7.45,2600,19374.28,100831.81,2025-04-18,sell_drop7,2,6.56,6.56,17025.42,117857.23,-2349,-2348.86,-0.12
002165,红 宝 丽,2025-04-21,5,1,2.00,42.42,33.11,16.58,11.88,12.72,11.00,12.12,12.12,1600,19402.85,98454.38,2025-04-23,sell_drop7,3,11.93,11.92,19054.38,97695.66,-348,-348.48,-0.02
